ProductCode;AlcoholValueRatio;AlcoholPercentage
12000701;19.19;12.5%
11601001;18.41;13%
14165601;16.63;12.5%
11601301;22.21;12%
7885801;23.85;14%
15336201;25.64;13%
11491601;11.84;13.5%
9112201;15.71;35%
7857701;16.54;14.5%
12324201;16.54;14.5%
10857201;17.77;12%
7864201;16.4;13%
7864301;15.79;13.5%
7734201;23.69;13.5%
7705601;23.69;13.5%
13174201;45.61;53.2%
13174101;31.94;58%
14696201;18.09;14%
14696301;14.8;13.5%
15016304;24.99;40%
15016001;16.78;40%
13736201;20.34;42%
13045101;39.99;12%
13045201;42.66;12.5%
3216101;24.43;38%
12144001;39.96;14.5%
14056602;26.38;10%
12939502;38.29;8%
14056702;32.31;8.5%
13978002;31.93;8.6%
13440801;18.12;12.5%
15202006;12.3;13%
11225401;13.32;13%
12357406;12.09;13.5%
14271601;13.13;13.5%
13129402;27.21;5%
13129502;27.21;5%
15108501;15.54;12%
7813601;13.52;13.5%
11675901;15.7;14%
7861801;16.01;40%
14706202;40.36;7.5%
14706002;37.44;5.9%
14706302;32.62;7.7%
10652501;16.4;13%
10292908;39.47;40.5%
12032008;79.94;5%
10687408;79.94;5%
10799108;79.94;5%
7960108;79.94;5%
14406108;79.94;5%
7959908;79.94;5%
12815308;79.94;5%
7864408;42;40%
12147308;37.29;41.4%
10820502;null;0%
15338101;40.84;11%
15338401;39.62;11%
15338201;32.45;11.5%
15338001;46.02;11.5%
15251201;35.54;12%
15338301;42.78;10.5%
11753902;48.89;40%
13735701;90.91;5.5%
14210201;111.08;5.1%
15474501;65.65;6.7%
14812401;50.62;7.9%
9106201;37.93;6.5%
14445301;64.94;7.7%
12974001;58.5;9%
14441201;57.14;9.1%
12973901;64.98;8%
14441101;56.22;8.3%
12159401;86;6.2%
11638502;101.63;6.3%
14210401;99.39;5.7%
14485602;70;7.2%
13862702;75.07;6%
14440905;65.67;6.7%
11244601;86.67;6%
11638402;95.28;6.3%
11990502;80;6.3%
14210901;61.01;7.1%
14812601;60.76;6.8%
15199501;54.04;7.4%
15199401;44.17;8%
15199301;49.5;7%
3919002;41.61;7.3%
10945401;33.76;7.5%
13263005;47.2;7.2%
11180505;46.46;6.6%
13263105;53.22;7.2%
12593502;78.08;6.8%
11180605;58.21;6.3%
13862801;24.5;10.6%
14210801;45.46;7.3%
13099905;55.53;7.2%
15203001;69.43;6.7%
15473601;76.34;6.2%
14485702;79.2;6.7%
13862601;73.51;6.8%
15072101;60.42;7.7%
15203201;63.73;7.3%
11990601;70.07;6%
12593601;65.33;9.7%
13863001;75.54;7.5%
14210301;51.62;7.1%
15203101;71.57;6.5%
13099802;40.28;9.6%
14210701;98.02;6.8%
13042501;11.84;13.5%
15336001;14.78;13%
12968804;15.97;12.5%
12073206;10.66;13%
8015101;15.56;12%
10977502;39.16;54.8%
10583401;26.64;13.5%
14347801;32.17;14%
14523201;29.99;12%
13878201;23.49;38%
14731702;24.63;42%
14731802;24.63;42%
12119101;30.64;12%
12119001;48.12;12%
12443301;29.77;12%
13386501;27.16;12.5%
10274801;20.11;12%
10621001;24.92;11.5%
2216106;16.25;12%
5888201;19.43;12%
1829302;25.59;6.5%
10833402;28.22;11.8%
11788302;30.24;5%
14493902;19.46;14%
12057402;29.08;5.2%
13144502;24.21;10%
13144602;24.21;10%
13473901;32.35;10.3%
12841202;26.87;9%
13666702;29.85;10%
12057602;24.21;10%
14407501;28.63;13.5%
14830102;21.93;8%
1959802;23.67;6.9%
12841302;22.01;11%
12373402;27.73;6%
13666802;28.64;6%
10204502;19.95;6%
13473702;28.8;10.5%
13473802;23.06;10.5%
12276702;26.95;6.5%
14532802;31.21;6%
13666502;26.99;6.5%
11671002;23.87;11.3%
13666602;30.91;8%
8228902;28.63;5.6%
13474102;31.61;6.5%
10675902;26.53;6.5%
14407401;34.77;9.2%
14770501;28.36;14%
14770601;56.25;5.9%
10238202;27.73;6%
12841402;22.01;11%
2153102;19.57;8.5%
14770401;38.52;10%
12547802;28.74;6%
11670902;23.27;7.8%
13666402;23.16;12%
14732202;29.15;5.8%
15101702;24.93;6.1%
14393602;28.35;7.2%
14131802;27.58;7.4%
14393702;30.73;6.5%
14206102;37.35;8.5%
14131502;21.74;7.4%
14393802;27.24;7.5%
14131702;25.15;7.4%
13539702;17.97;12%
14393902;27.24;7.5%
14259502;32.45;5.5%
15014002;25.84;7%
15013902;30.15;6%
15193502;26.8;7%
12566502;35.91;6%
12714802;39.17;5.5%
13499802;37.27;6%
13101702;32.24;7%
12566202;47.88;6.8%
12151302;53.33;6%
13501102;26.27;11.5%
10098101;21.02;13%
12346701;14.8;13.5%
12346601;15.99;12.5%
15485002;28.38;12%
14925801;21.05;14.5%
15368501;25.98;14.5%
15368401;20.17;13.5%
14083304;30.15;6.5%
14123301;28.51;6.5%
14637204;21.73;9%
14637101;24.94;8.5%
13488101;29.32;7.5%
14163401;75.24;14%
13489801;28.79;12.5%
10199902;49.49;6.8%
13514801;23.46;12.5%
15521301;21.87;12.5%
15521601;21.23;13.5%
4039901;21.23;13.5%
14371301;14.8;13.5%
7630206;13.33;12%
13210106;18.66;12.5%
8363901;51.48;13.7%
